alpha,T,auc,brier,log_loss,accuracy,n_bets,roi,profit,win_rate
0.45,3.0,0.7574010802335891,0.22103576593898835,0.6342210463655772,0.664924506387921,586,0.18203071672354948,106.67,0.33276450511945393
0.5,0.5,0.7590114259165609,0.2075680636181059,0.6080587681000141,0.6724738675958188,628,0.2257802547770701,141.79000000000002,0.6942675159235668
0.5,0.6,0.7590114259165608,0.20225481351473315,0.5887260626706787,0.6724738675958188,420,0.3862380952380952,162.22,0.6880952380952381
0.5,0.7,0.7590114259165608,0.1994186378843914,0.5803949984276322,0.6724738675958188,276,0.5455434782608696,150.57,0.6086956521739131
0.5,0.8,0.7590114259165608,0.19820804227029742,0.577801178586686,0.6724738675958188,204,0.6534313725490196,133.3,0.5
0.5,0.9,0.7590114259165608,0.19804996401328911,0.5782911641904639,0.6724738675958188,206,0.6772815533980583,139.52,0.46116504854368934
0.5,1.0,0.7590114259165608,0.19856332230013388,0.5804465091373486,0.6724738675958188,230,0.5726086956521739,131.7,0.4217391304347826
0.5,1.1,0.7590114259165608,0.19949580805784886,0.5834786081315665,0.6724738675958188,282,0.5005319148936171,141.15000000000003,0.3900709219858156
0.5,1.2,0.7590114259165608,0.20068054897144627,0.5869371924222356,0.6724738675958188,334,0.4296107784431138,143.49,0.3712574850299401
0.5,1.3,0.7590114259165608,0.20200723501192885,0.5905611278217288,0.6724738675958188,388,0.3835567010309278,148.82,0.3582474226804124
0.5,1.5,0.7590114259165608,0.2048203041390151,0.5977610639842249,0.6724738675958188,465,0.27346236559139786,127.16,0.33763440860215055
0.5,1.7,0.7590114259165608,0.20760585904059967,0.6044904430696337,0.6724738675958188,510,0.2269411764705882,115.73999999999998,0.33137254901960783
0.5,2.0,0.7590114259165608,0.21146409736165703,0.6133940827606824,0.6724738675958188,537,0.19875232774674115,106.72999999999999,0.3258845437616387
0.5,2.5,0.7590114259165608,0.21684120059879888,0.6252690874872834,0.6724738675958188,574,0.192212543554007,110.33000000000001,0.3344947735191638
0.5,3.0,0.7590114259165608,0.2210549594632204,0.6342789594598474,0.6724738675958188,586,0.1813651877133106,106.28,0.33276450511945393
0.55,0.5,0.7603695983181138,0.20679088915927993,0.6068660944526277,0.681184668989547,619,0.23421647819063007,144.98000000000002,0.6930533117932148
0.55,0.6,0.7603695983181138,0.2016471960719656,0.5878585999281868,0.681184668989547,436,0.3588073394495413,156.44,0.6697247706422018
0.55,0.7,0.7603695983181138,0.19894233146686707,0.5797631839412721,0.681184668989547,300,0.4973333333333333,149.2,0.6033333333333334
0.55,0.8,0.7603695983181138,0.1978350576838188,0.5773407277512338,0.681184668989547,222,0.6258108108108108,138.93,0.5045045045045045
0.55,0.9,0.7603695983181138,0.19775843899803938,0.5779565620004067,0.681184668989547,227,0.647488986784141,146.98000000000002,0.4669603524229075
0.55,1.0,0.7603695983181138,0.1983360256886979,0.5802054399322156,0.681184668989547,245,0.5648979591836736,138.40000000000003,0.42857142857142855
0.55,1.1,0.7603695983181138,0.1993192217306549,0.5833079029742299,0.681184668989547,294,0.5034013605442177,148.0,0.3979591836734694
0.55,1.2,0.7603695983181138,0.20054411831396712,0.586820037898279,0.681184668989547,341,0.4236656891495601,144.47,0.375366568914956
0.55,1.3,0.7603695983181138,0.201902734867665,0.5904851637457567,0.681184668989547,389,0.38488431876606694,149.72000000000003,0.35989717223650386
0.55,1.5,0.7603695983181138,0.20476181306913124,0.5977421314771773,0.681184668989547,462,0.2792857142857143,129.03,0.3398268398268398
0.55,1.7,0.7603695983181138,0.20757734690700178,0.6045069296247326,0.681184668989547,508,0.23566929133858266,119.72,0.3346456692913386
0.55,2.0,0.7603695983181138,0.21146287918782222,0.6134410474269762,0.681184668989547,541,0.20863216266173754,112.87,0.33271719038817005
0.55,2.5,0.7603695983181138,0.21686160398097432,0.625337602835537,0.681184668989547,567,0.19763668430335096,112.06,0.3350970017636684
0.55,3.0,0.7603695983181138,0.22108385580453502,0.6343536841608088,0.681184668989547,587,0.18206132879045997,106.87,0.3339011925042589
0.6,0.5,0.761319359644326,0.20644536820341192,0.6066444832888033,0.6858304297328688,618,0.2354045307443366,145.48000000000002,0.686084142394822
0.6,0.6,0.7613234711652188,0.20136094995537246,0.5876888955105849,0.6858304297328688,440,0.3605,158.62,0.6613636363636364
0.6,0.7,0.7613234711652188,0.19871441814283478,0.5796521801910351,0.6858304297328688,320,0.46168750000000003,147.74,0.603125
0.6,0.8,0.7613234711652188,0.19765914030012155,0.5772814397012345,0.6858304297328688,245,0.5902448979591838,144.61,0.5142857142857142
0.6,0.9,0.7613234711652188,0.19762628444746838,0.5779383982425945,0.6858304297328688,239,0.601589958158996,143.78000000000003,0.46443514644351463
0.6,1.0,0.7613234711652188,0.19823953863584326,0.5802187359838584,0.6858304297328688,263,0.500722433460076,131.69,0.41825095057034223
0.6,1.1,0.7613234711652188,0.19925129492242735,0.5833448335669682,0.6858304297328688,301,0.49926910299003324,150.28,0.4053156146179402
0.6,1.2,0.7613234711652188,0.20049885104672394,0.5868745482139304,0.6858304297328688,346,0.41427745664739885,143.34,0.37572254335260113
0.6,1.3,0.7613234711652188,0.20187536916128807,0.5905526531718339,0.6858304297328688,391,0.38708439897698216,151.35000000000002,0.3657289002557545
0.6,1.5,0.7613234711652188,0.20475971107485438,0.5978260081368678,0.6858304297328688,464,0.28133620689655175,130.54000000000002,0.3426724137931034
0.6,1.7,0.7613234711652188,0.20759098783076035,0.604599097304311,0.6858304297328688,507,0.24218934911242598,122.78999999999998,0.33727810650887574
0.6,2.0,0.7613234711652188,0.2114897578055732,0.6135375282257998,0.6858304297328688,542,0.21361623616236164,115.78,0.33579335793357934
0.6,2.5,0.7613234711652188,0.2168970465629713,0.6254318820459505,0.6858304297328688,566,0.1989929328621908,112.63,0.33568904593639576
0.6,3.0,0.7613234711652188,0.22112098245749578,0.6344419992919582,0.6858304297328688,586,0.18349829351535837,107.53,0.33447098976109213
0.65,0.5,0.7617305117335955,0.2065424658654972,0.607332285132644,0.6846689895470384,611,0.24535188216039283,149.91000000000003,0.6857610474631751
0.65,0.6,0.7617346232544882,0.20140392262238474,0.5882015403491202,0.6846689895470384,444,0.3533783783783784,156.9,0.6576576576576577
0.65,0.7,0.7617346232544882,0.19873962273104379,0.5800496667371305,0.6846689895470384,337,0.4128486646884273,139.13,0.5875370919881305
0.65,0.8,0.7617346232544882,0.19768279600207128,0.5776127398772262,0.6846689895470384,265,0.559433962264151,148.25,0.5169811320754717
0.65,0.9,0.7617346232544882,0.19765450120639202,0.5782272990941336,0.6846689895470384,256,0.5628906250000001,144.10000000000002,0.46875
0.65,1.0,0.7617346232544882,0.19827386114157,0.5804779341499173,0.6846689895470384,278,0.4800719424460432,133.46,0.4244604316546763
0.65,1.1,0.7617346232544882,0.19929136951519258,0.583581668887926,0.6846689895470384,310,0.47948387096774187,148.64,0.4032258064516129
