market_reference,alpha,n,logloss,brier,auc,accuracy,mean_prob,target_rate
open,0.86,408,0.5771009903711223,0.19653052604132776,0.7722703222703222,0.6887254901960784,0.5189512581736464,0.5147058823529411
open,0.87,408,0.5781275716384283,0.1968362119366317,0.7718614718614718,0.6887254901960784,0.5189394346781583,0.5147058823529411
open,0.88,408,0.5792001181499524,0.19714969363464016,0.7712121212121212,0.6887254901960784,0.5189276111826703,0.5147058823529411
open,0.89,408,0.580321004519515,0.19747097113535317,0.771019721019721,0.6862745098039216,0.5189157876871823,0.5147058823529411
open,0.9,408,0.5814928737434022,0.19780004443877078,0.7709716209716211,0.6862745098039216,0.5189039641916942,0.5147058823529411
open,0.91,408,0.5827186829530038,0.1981369135448929,0.7705146705146705,0.6838235294117647,0.5188921406962061,0.5147058823529411
open,0.92,408,0.5840017601259138,0.19848157845371958,0.7703703703703704,0.6862745098039216,0.5188803172007179,0.5147058823529411
open,0.93,408,0.5853458752369267,0.1988340391652509,0.76998556998557,0.6887254901960784,0.5188684937052299,0.5147058823529411
open,0.94,408,0.5867553307519863,0.1991942956794867,0.7691438191438191,0.6887254901960784,0.5188566702097418,0.5147058823529411
open,0.95,408,0.588235078519896,0.19956234799642714,0.7686147186147188,0.6887254901960784,0.5188448467142538,0.5147058823529411
open,0.96,408,0.5897908734631335,0.1999381961160721,0.7680375180375181,0.6887254901960784,0.5188330232187657,0.5147058823529411
open,0.97,408,0.5914294798375654,0.20032184003842166,0.7675565175565177,0.6887254901960784,0.5188211997232777,0.5147058823529411
open,0.98,408,0.593158954755773,0.2007132797634757,0.7667869167869168,0.6887254901960784,0.5188093762277896,0.5147058823529411
open,0.99,408,0.5949890491347686,0.2011125152912344,0.765969215969216,0.6887254901960784,0.5187975527323015,0.5147058823529411
open,1.0,408,0.596931794371762,0.20151954662169763,0.7653679653679653,0.6887254901960784,0.5187857292368134,0.5147058823529411
mid,0.0,408,0.5767583839863148,0.1968308909722414,0.7652958152958153,0.6911764705882353,0.5179348389303646,0.5147058823529411
mid,0.01,408,0.5758228272312659,0.19651588390008057,0.7661135161135162,0.6911764705882353,0.5179433478334292,0.5147058823529411
mid,0.02,408,0.5749270477415273,0.19620818781031676,0.7666426166426166,0.6936274509803921,0.5179518567364937,0.5147058823529411
mid,0.03,408,0.5740680133666498,0.19590780270295008,0.7673881673881675,0.696078431372549,0.5179603656395582,0.5147058823529411
mid,0.04,408,0.5732432051864059,0.19561472857798048,0.7683261183261183,0.6985294117647058,0.5179688745426226,0.5147058823529411
mid,0.05,408,0.5724505042506374,0.1953289654354079,0.7686868686868688,0.6985294117647058,0.5179773834456872,0.5147058823529411
mid,0.06,408,0.5716881086802368,0.19505051327523243,0.7691919191919191,0.696078431372549,0.5179858923487516,0.5147058823529411
mid,0.07,408,0.5709544717645537,0.19477937209745405,0.7696007696007696,0.6985294117647058,0.5179944012518161,0.5147058823529411
mid,0.08,408,0.5702482549172053,0.19451554190207276,0.7702020202020201,0.696078431372549,0.5180029101548806,0.5147058823529411
mid,0.09,408,0.5695682913623014,0.19425902268908854,0.7706349206349206,0.696078431372549,0.5180114190579451,0.5147058823529411
mid,0.1,408,0.5689135577110822,0.1940098144585014,0.7711640211640212,0.6985294117647058,0.5180199279610096,0.5147058823529411
mid,0.11,408,0.5682831514351623,0.19376791721031128,0.7719095719095719,0.6985294117647058,0.5180284368640741,0.5147058823529411
mid,0.12,408,0.567676272811049,0.19353333094451827,0.7725829725829726,0.696078431372549,0.5180369457671387,0.5147058823529411
mid,0.13,408,0.5670922103002128,0.19330605566112238,0.7730399230399231,0.696078431372549,0.518045454670203,0.5147058823529411
mid,0.14,408,0.5665303286008749,0.19308609136012356,0.7736411736411737,0.6936274509803921,0.5180539635732675,0.5147058823529411
mid,0.15,408,0.5659900588005514,0.19287343804152182,0.7742183742183741,0.6936274509803921,0.5180624724763321,0.5147058823529411
mid,0.16,408,0.5654708901972682,0.19266809570531712,0.7745550745550744,0.696078431372549,0.5180709813793966,0.5147058823529411
mid,0.17,408,0.5649723634587416,0.19247006435150954,0.7752284752284753,0.6985294117647058,0.518079490282461,0.5147058823529411
mid,0.18,408,0.5644940648637601,0.19227934398009902,0.7758537758537758,0.6985294117647058,0.5180879991855255,0.5147058823529411
mid,0.19,408,0.5640356214260472,0.19209593459108557,0.7760221260221261,0.696078431372549,0.5180965080885901,0.5147058823529411
mid,0.2,408,0.5635966967432594,0.19191983618446923,0.7763107263107263,0.6936274509803921,0.5181050169916545,0.5147058823529411
mid,0.21,408,0.5631769874461204,0.19175104876024995,0.7771524771524772,0.6936274509803921,0.5181135258947189,0.5147058823529411
mid,0.22,408,0.5627762201476325,0.19158957231842774,0.7776094276094276,0.696078431372549,0.5181220347977835,0.5147058823529411
mid,0.23,408,0.5623941488116878,0.19143540685900265,0.7777777777777777,0.696078431372549,0.518130543700848,0.5147058823529411
mid,0.24,408,0.5620305524756077,0.1912885523819746,0.7781144781144782,0.6936274509803921,0.5181390526039124,0.5147058823529411
